0.140	0.0000048
0.150	0.0000176
0.160	0.000059
0.170	0.00015
0.180	0.00035
0.190	0.00076
0.200	0.00130
0.205	0.00167
0.210	0.00269
0.215	0.00445
0.220	0.00575
0.225	0.00649
0.230	0.00667
0.235	0.00593
0.240	0.00630
0.245	0.00723
0.250	0.00704
0.255	0.0104
0.260	0.0130
0.265	0.0185
0.270	0.0232
0.275	0.0204
0.280	0.0222
0.285	0.0315
0.290	0.0482
0.295	0.0584
0.300	0.0514
0.305	0.0602
0.310	0.0686
0.315	0.0757
0.320	0.0819
0.325	0.0958
0.330	0.1037
0.335	0.1057
0.340	0.1050
0.345	0.1047
0.350	0.1074
0.355	0.1067
0.360	0.1055
0.365	0.1122
0.370	0.1173
0.375	0.1152
0.380	0.1117
0.385	0.1097
0.390	0.1099
0.395	0.1191
0.400	0.1433
0.405	0.1651
0.410	0.1759
0.415	0.1783
0.420	0.1758
0.425	0.1705
0.430	0.1651
0.435	0.1675
0.440	0.1823
0.445	0.1936
0.450	0.2020
0.455	0.2070
0.460	0.2080
0.465	0.2060
0.470	0.2045
0.475	0.2055
0.480	0.2085
0.485	0.1986
0.490	0.1959
0.495	0.1966
0.500	0.1946
0.505	0.1922
0.510	0.1882
0.515	0.1833
0.520	0.1833
0.525	0.1852
0.530	0.1842
0.535	0.1818
0.540	0.1783
0.545	0.1754
0.550	0.1725
0.555	0.1720
0.560	0.1695
0.565	0.1700
0.570	0.1705
0.575	0.1710
0.580	0.1705
0.585	0.1700
0.590	0.1685
0.595	0.1665
0.600	0.1646
0.605	0.1626
0.610	0.1611
0.620	0.1576
0.630	0.1542
0.640	0.1517
0.650	0.1487
0.660	0.1468
0.670	0.1443
0.680	0.1418
0.690	0.1398
0.700	0.1369
0.710	0.1344
0.720	0.1314
0.730	0.1290
0.740	0.1260
0.750	0.1235
0.800	0.1107
0.850	0.0988
0.900	0.0889
0.950	0.0835
1.000	0.0746
1.100	0.0592
1.200	0.0484
1.300	0.0396
1.400	0.0336
1.500	0.0287
1.600	0.0244
1.700	0.0202
1.800	0.0159
1.900	0.0126
2.000	0.0103
2.100	0.0090
2.200	0.0079
2.300	0.0068
2.400	0.0064
2.500	0.0054
2.600	0.0048
2.700	0.0043
2.800	0.0039
2.900	0.0035
3.000	0.0031
3.100	0.0026
3.200	0.00226
3.300	0.00192
3.400	0.00166
3.500	0.00146
3.600	0.00135
3.700	0.00123
3.800	0.00111
3.900	0.00103
4.000	0.00095
4.100	0.00087
4.200	0.00078
4.300	0.00071
4.400	0.00065
4.500	0.00059
4.600	0.00053
4.700	0.00048
4.800	0.00045
4.900	0.00041
5.000	0.000383
6.000	0.000175
7.000	0.000099
8.000	0.000060
9.000	0.000038
10.000	0.000025
11.000	0.0000170
12.000	0.0000120
13.000	0.0000087
14.000	0.0000055
15.000	0.0000049
16.000	0.0000038
17.000	0.0000031
18.000	0.0000024
19.000	0.0000020
20.000	0.0000016
